x,y,z,SaliencyScore,Labels,EEGScore,NormalizedCombinedScore
-0.5359,-0.07,0.5572,0.0,[],0.0,0.0
-0.0415,-0.2325,-0.1455,0.0,[],0.0,0.0
0.2114,0.0385,0.5663,0.0,[],0.0,0.0
0.4299,0.0057,-0.1562,0.0,[],0.0,0.0
0.5432,0.1783,-0.0633,0.0,[],0.0,0.0
-0.014,-0.2325,-0.1295,0.0,[],0.0,0.0
-0.2869,-0.2325,-0.1399,0.0,[],0.0,0.0
0.1942,0.2017,-0.2192,0.0,[],0.0,0.0
-0.0396,-0.1746,-0.2927,0.0,[],0.0,0.0
-0.0795,-0.0057,-0.1992,0.0,[],0.0,0.0
-0.4967,-0.0252,-0.0234,0.0,[],0.0,0.0
0.3617,0.2017,-0.2183,0.0,[],0.0,0.0
-0.4966,-0.0559,0.6121,0.0,[],0.0,0.0
-0.3299,-0.0225,-0.0133,0.0,[],0.0,0.0
-0.1143,0.1784,-0.4665,0.0,[],0.0,0.0
0.4768,-0.035,-0.3515,0.0,[],0.0,0.0
0.4679,0.2024,-0.2511,0.0,[],0.0,0.0
0.4711,-0.1199,0.4903,0.0,[],0.0,0.0
0.2939,0.0665,-0.6511,0.21643573817486864,['Attention'],1.0,0.023104889424588618
0.2264,-0.2325,-0.4024,0.0,[],0.0,0.0
0.2299,0.1811,-0.0738,0.0,[],0.0,0.0
-0.4967,0.1333,-0.405,1.065575728619207,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.10995440729483279
0.3181,-0.2325,0.1346,0.0,[],0.0,0.0
-0.417,-0.1325,0.3853,0.0,[],0.0,0.0
-0.4967,0.0471,0.4226,0.0,[],0.0,0.0
-0.2046,0.2011,-0.3007,0.0,[],0.0,0.0
0.4793,0.0677,-0.4804,0.0,[],0.0,0.0
-0.0178,0.107,-0.6314,0.0,[],0.0,0.0
0.4746,0.0724,0.1284,0.0,[],0.0,0.0
-0.3775,0.2172,-0.0978,0.0,[],0.0,0.0
-0.0751,-0.0426,0.6752,0.2508361204013378,['Attention'],1.0,0.02612344093910491
-0.079,-0.0699,-0.4731,0.0,[],0.0,0.0
0.1556,0.2005,-0.3111,0.0,[],0.0,0.0
-0.2219,-0.1325,0.3161,0.0,[],0.0,0.0
0.0926,-0.2325,-0.3526,0.0,[],0.0,0.0
-0.2034,-0.0325,0.5184,0.0,[],0.0,0.0
0.2587,-0.0225,-0.1807,0.0,[],0.0,0.0
-0.3533,0.1988,-0.3341,0.0,[],0.0,0.0
0.4908,0.2294,-0.3271,0.0,[],0.0,0.0
-0.4967,-0.0135,-0.5276,0.0,[],0.0,0.0
0.2039,-0.0376,-0.5179,0.0,[],0.0,0.0
-0.3079,0.0812,0.2904,0.0,[],0.0,0.0
0.4793,0.019,-0.5158,0.0,[],0.0,0.0
-0.2607,0.0749,0.3804,0.0,[],0.0,0.0
0.2273,-0.0325,0.2623,0.0,[],0.0,0.0
0.0674,0.0034,-0.6374,0.0,[],0.0,0.0
0.0145,-0.1456,-0.4682,0.362517916865743,['Attention'],1.0,0.03592325227963525
-0.4115,0.0931,-0.0261,0.0,[],0.0,0.0
-0.1297,0.1713,-0.4979,0.0,[],0.0,0.0
-0.1106,0.0553,-0.6526,0.0,[],0.0,0.0
0.3659,-0.0205,-0.6031,0.0,[],0.0,0.0
0.313,0.1967,-0.1588,0.0,[],0.0,0.0
-0.514,0.0324,0.0704,0.0,[],0.0,0.0
-0.3765,-0.1325,0.2273,0.0,[],0.0,0.0
0.5123,-0.1025,0.1643,0.0,[],0.0,0.0
-0.1977,-0.2325,-0.3169,0.0,[],0.0,0.0
-0.3459,-0.0397,-0.4809,0.0,[],0.0,0.0
0.2913,-0.0325,-0.1296,0.0,[],0.0,0.0
-0.1843,-0.1811,-0.3126,0.0,[],0.0,0.0
-0.3622,0.2067,-0.0532,0.0,[],0.0,0.0
-0.1632,-0.0225,0.0875,0.0,[],0.0,0.0
-0.2378,-0.2325,-0.3573,0.0,[],0.0,0.0
-0.3559,-0.1325,-0.0276,0.0,[],0.0,0.0
0.3154,0.1571,-0.0261,1.6021261347348306,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.1611485955350592
0.3245,0.1864,-0.097,0.0,[],0.0,0.0
-0.3145,-0.0325,-0.1737,0.0,[],0.0,0.0
0.1017,0.081,0.2979,0.0,[],0.0,0.0
0.2771,-0.1325,0.0548,0.0,[],0.0,0.0
0.049,-0.0001,-0.1777,0.0,[],0.0,0.0
-0.5387,0.0792,0.1954,0.0,[],0.0,0.0
-0.1731,0.1479,-0.0261,2.006569517439083,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.2007507074730112
0.2257,-0.2319,-0.4682,0.0,[],0.0,0.0
-0.2258,0.202,-0.2791,0.0,[],0.0,0.0
0.2679,-0.2325,-0.3563,0.0,[],0.0,0.0
-0.4948,0.2019,-0.2233,0.0,[],0.0,0.0
-0.4081,-0.2325,0.0872,0.0,[],0.0,0.0
0.4737,0.0307,-0.0659,1.707955088389871,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.17454800335394607
0.4793,0.1417,-0.2414,0.0,[],0.0,0.0
0.0042,-0.0694,-0.4886,0.650382226469183,"['Attention', 'Attention', 'Attention']",3.0,0.06940899800859447
0.0823,-0.0325,0.0084,0.0,[],0.0,0.0
-0.4967,0.019,-0.0733,0.0,[],0.0,0.0
-0.0715,-0.0225,0.2127,0.0,[],0.0,0.0
0.0665,-0.2117,0.4345,0.0,[],0.0,0.0
-0.166,-0.0402,-0.4319,0.0,[],0.0,0.0
-0.1318,-0.0225,0.6489,0.0,[],0.0,0.0
-0.4017,-0.0326,-0.1834,0.0,[],0.0,0.0
0.3818,-0.0504,-0.2589,0.0,[],0.0,0.0
-0.4434,0.155,-0.5532,0.0,[],0.0,0.0
0.4345,-0.0225,-0.1073,0.0,[],0.0,0.0
0.4793,-0.0666,0.4997,0.0,[],0.0,0.0
0.031,0.025,-0.0866,0.0,[],0.0,0.0
-0.1999,-0.0325,-0.0905,0.0,[],0.0,0.0
0.5435,0.2001,-0.3593,0.0,[],0.0,0.0
-0.2979,0.1987,-0.1767,0.0,[],0.0,0.0
0.0309,0.1878,-0.1041,0.0,[],0.0,0.0
0.4793,-0.186,0.1019,0.24438604873387482,['Attention'],1.0,0.025557462530133104
-0.2978,-0.0325,0.5212,0.0,[],0.0,0.0
0.2894,-0.0206,-0.1386,0.0,[],0.0,0.0
-0.28,0.2317,-0.2909,0.0,[],0.0,0.0
0.4348,-0.0225,-0.0336,0.0,[],0.0,0.0
0.3324,0.1826,-0.08,0.0,[],0.0,0.0
0.4519,-0.2325,-0.2137,0.0,[],0.0,0.0
-0.4234,-0.2008,-0.4694,0.245461060678452,['Attention'],1.0,0.02565179226496174
-0.1091,0.1903,-0.4021,0.0,[],0.0,0.0
0.2179,-0.0384,-0.5056,0.0,[],0.0,0.0
0.4711,-0.1325,-0.002,1.0967510750119445,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.11268996960486319
0.3025,0.075,0.1495,0.8233397037744864,"['Attention', 'Attention', 'Attention']",3.0,0.08458560423435696
0.4309,-0.2325,0.0536,0.0,[],0.0,0.0
-0.2845,-0.1624,-0.2553,0.0,[],0.0,0.0
-0.2785,-0.0225,0.0986,0.0,[],0.0,0.0
-0.3464,-0.0225,0.664,0.0,[],0.0,0.0
0.4194,-0.1153,-0.4676,0.0,[],0.0,0.0
-0.1903,-0.2325,-0.4539,0.0,[],0.0,0.0
0.2622,-0.0225,0.2461,0.0,[],0.0,0.0
0.4024,-0.2325,-0.4023,0.0,[],0.0,0.0
0.0245,-0.0402,-0.4357,0.0,[],0.0,0.0
-0.0173,-0.0225,0.2262,0.0,[],0.0,0.0
-0.3843,-0.0225,-0.0766,0.0,[],0.0,0.0
-0.4318,-0.0225,0.0249,0.0,[],0.0,0.0
-0.0211,-0.0225,-0.0407,0.0,[],0.0,0.0
-0.1568,0.2003,-0.3141,0.0,[],0.0,0.0
-0.0682,0.1787,-0.5758,0.0,[],0.0,0.0
0.409,-0.0324,-0.3302,0.0,[],0.0,0.0
0.2414,0.232,-0.2293,1.141304347826087,"['Attention', 'Attention', 'Attention']",3.0,0.11248624358033747
0.3781,0.0754,0.1531,0.0,[],0.0,0.0
-0.0786,0.0617,0.4679,0.0,[],0.0,0.0
0.3355,0.1324,-0.6016,0.0,[],0.0,0.0
-0.1239,0.2313,-0.2102,0.21643573817486864,['Attention'],1.0,0.023104889424588618
-0.3838,-0.099,0.5652,0.0,[],0.0,0.0
-0.0238,-0.2325,-0.4646,0.6069039655996178,"['Attention', 'Attention']",2.0,0.06148071480976835
0.4611,-0.0667,-0.5292,0.21536072623029145,['Attention'],1.0,0.023010559689759978
-0.5151,-0.068,-0.3808,0.0,[],0.0,0.0
0.4793,-0.0686,-0.2239,0.3904682274247491,['Attention'],1.0,0.03837582538517974
-0.3643,-0.1325,0.2967,0.0,[],0.0,0.0
-0.3476,0.033,-0.0574,0.0,[],0.0,0.0
0.4793,-0.0592,-0.3701,0.0,[],0.0,0.0
0.2725,0.2265,-0.3575,0.0,[],0.0,0.0
0.2523,0.0602,0.0559,0.0,[],0.0,0.0
0.2703,0.0537,0.5065,1.9233158146201625,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",7.0,0.19755856304370606
0.1086,-0.0262,-0.5859,0.0,[],0.0,0.0
-0.2672,-0.0325,-0.0381,0.0,[],0.0,0.0
-0.4077,0.2321,-0.2797,0.0,[],0.0,0.0
0.4793,-0.0416,-0.6045,0.0,[],0.0,0.0
0.0273,0.1732,-0.0446,0.0,[],0.0,0.0
-0.4967,-0.1277,0.2349,0.0,[],0.0,0.0
0.2357,-0.0225,0.0056,0.0,[],0.0,0.0
0.1419,0.1722,-0.4939,0.0,[],0.0,0.0
-0.2258,-0.1113,-0.4675,0.4360965121834687,"['Attention', 'Attention']",2.0,0.046492768053663126
0.3787,-0.2301,-0.47,0.0,[],0.0,0.0
0.0225,-0.0325,-0.0703,0.0,[],0.0,0.0
-0.2759,-0.0325,0.3144,0.0,[],0.0,0.0
-0.2908,-0.1406,0.4345,0.21643573817486864,['Attention'],1.0,0.023104889424588618
0.4793,-0.1693,-0.0209,0.0,[],0.0,0.0
0.1744,0.1986,-0.1759,0.0,[],0.0,0.0
0.3161,-0.0225,0.2115,0.0,[],0.0,0.0
0.3429,-0.0636,-0.4665,0.21751075011944576,['Attention'],1.0,0.023199219159417247
0.4793,-0.1513,0.1918,1.88628762541806,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.19019625825385172
-0.0413,-0.0325,0.1182,0.0,[],0.0,0.0
-0.3077,-0.2325,0.2653,0.0,[],0.0,0.0
0.2842,0.0258,0.6055,0.0,[],0.0,0.0
0.4793,-0.0828,0.5095,0.0,[],0.0,0.0
0.3677,-0.2325,-0.3443,0.0,[],0.0,0.0
-0.4025,0.1999,-0.1889,0.0,[],0.0,0.0
0.1397,-0.2325,0.0667,0.0,[],0.0,0.0
-0.424,0.1985,-0.3374,0.0,[],0.0,0.0
-0.3248,0.1936,-0.5314,0.0,[],0.0,0.0
0.3635,0.2011,-0.2076,0.0,[],0.0,0.0
0.062,-0.0051,-0.6293,0.0,[],0.0,0.0
-0.3893,-0.0059,-0.2001,0.0,[],0.0,0.0
-0.2184,0.0302,0.5929,0.0,[],0.0,0.0
-0.2331,0.151,-0.5637,0.0,[],0.0,0.0
0.4793,-0.0369,0.3917,0.0,[],0.0,0.0
0.1367,-0.1325,0.265,0.0,[],0.0,0.0
0.3238,0.1978,-0.0226,2.2847587195413284,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",8.0,0.23338748558851272
-0.2733,0.2266,-0.3565,0.0,[],0.0,0.0
-0.2152,-0.0902,-0.4671,0.21751075011944576,['Attention'],1.0,0.023199219159417247
-0.2905,0.1851,-0.0912,0.0,[],0.0,0.0
0.3212,0.2226,-0.127,0.0,[],0.0,0.0
-0.2471,-0.0356,-0.5378,0.0,[],0.0,0.0
-0.1203,-0.0375,-0.5181,0.0,[],0.0,0.0
0.2983,0.2307,-0.2001,0.3915432393693263,['Attention'],1.0,0.03847015512000837
0.0117,0.0814,0.2436,0.0,[],0.0,0.0
0.3414,-0.2325,-0.1987,0.0,[],0.0,0.0
-0.3038,-0.2325,-0.1385,0.0,[],0.0,0.0
0.521,-0.1325,0.3804,0.0,[],0.0,0.0
-0.4914,-0.0225,0.1587,0.2508361204013378,['Attention'],1.0,0.02612344093910491
0.2612,-0.0225,0.45,0.0,[],0.0,0.0
-0.2823,-0.2325,0.2521,0.0,[],0.0,0.0
0.0566,-0.0225,0.1301,0.0,[],0.0,0.0
-0.156,0.0075,-0.1497,0.0,[],0.0,0.0
0.272,-0.0177,-0.2492,0.0,[],0.0,0.0
0.1692,-0.2325,0.07,0.4403965599617774,"['Attention', 'Attention']",2.0,0.04687008699297767
-0.217,0.0761,0.369,0.3904682274247491,['Attention'],1.0,0.03837582538517974
0.4964,-0.1325,0.3783,0.0,[],0.0,0.0
0.2127,-0.1968,-0.3609,0.0,[],0.0,0.0
-0.195,0.0831,-0.6462,0.0,[],0.0,0.0
-0.1139,0.1404,-0.5872,0.0,[],0.0,0.0
-0.1273,-0.1325,0.0934,0.0,[],0.0,0.0
0.4448,-0.0225,0.0772,0.0,[],0.0,0.0
-0.2582,-0.0386,-0.5038,0.0,[],0.0,0.0
-0.1167,-0.0178,-0.1286,0.0,[],0.0,0.0
-0.5435,-0.034,-0.2863,0.0,[],0.0,0.0
-0.2199,0.2302,-0.1922,1.6767797419971335,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.16358610208573524
0.0527,0.1718,-0.0398,0.21643573817486864,['Attention'],1.0,0.023104889424588618
-0.4787,-0.039,0.6789,0.3947682752030578,['Attention'],1.0,0.038753144324494275
0.2256,-0.2325,-0.3679,0.0,[],0.0,0.0
0.1006,-0.2325,-0.2344,0.0,[],0.0,0.0
0.3239,-0.1325,-0.1458,0.0,[],0.0,0.0
0.4793,-0.0444,0.0459,3.2853559483994266,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",7.0,0.3170743370715857
-0.2122,-0.0374,-0.5197,0.0,[],0.0,0.0
0.2747,-0.2325,-0.2545,0.0,[],0.0,0.0
0.0768,-0.0392,-0.4007,0.0,[],0.0,0.0
0.3436,0.1166,-0.6224,0.0,[],0.0,0.0
-0.3099,0.1977,-0.1673,0.0,[],0.0,0.0
0.5287,0.0096,0.5584,0.0,[],0.0,0.0
-0.1427,-0.0325,0.5709,0.0,[],0.0,0.0
-0.0301,-0.2282,0.4345,0.0,[],0.0,0.0
-0.2864,-0.0225,0.5062,0.0,[],0.0,0.0
0.2224,-0.1325,0.3652,0.0,[],0.0,0.0
-0.4445,-0.0225,0.6764,1.5661729574773053,"['Attention', 'Attention', 'Attention', 'Attention']",4.0,0.15388062048003348
0.3006,-0.0642,-0.342,0.0,[],0.0,0.0
-0.22,-0.0225,0.5225,0.0,[],0.0,0.0
0.2132,-0.0703,-0.4519,0.0,[],0.0,0.0
-0.0079,-0.2325,0.3389,0.0,[],0.0,0.0
-0.2733,0.2305,-0.3132,0.0,[],0.0,0.0
0.1789,-0.0225,0.5582,0.0,[],0.0,0.0
0.4362,-0.0225,-0.0834,0.0,[],0.0,0.0
0.415,-0.2325,0.3054,0.0,[],0.0,0.0
0.3359,-0.0225,0.6333,0.0,[],0.0,0.0
-0.0723,0.0729,0.132,0.0,[],0.0,0.0
-0.3422,-0.1325,0.1238,0.0,[],0.0,0.0
0.3879,-0.0043,0.6664,0.0,[],0.0,0.0
0.5412,-0.1025,0.3393,0.0,[],0.0,0.0
0.1874,-0.1325,0.4304,0.7777114190157668,"['Attention', 'Attention']",2.0,0.07646866156587358
-0.0486,0.1866,-0.4244,0.0,[],0.0,0.0
0.4141,-0.0668,-0.528,0.3904682274247491,['Attention'],1.0,0.03837582538517974
-0.1194,-0.1325,0.0334,0.0,[],0.0,0.0
0.526,0.0711,0.4102,0.0,[],0.0,0.0
-0.4616,-0.0305,-0.5699,0.0,[],0.0,0.0
0.2463,-0.2325,0.2614,0.0,[],0.0,0.0
-0.3159,-0.0361,-0.534,0.0,[],0.0,0.0
-0.426,-0.1755,-0.2955,0.0,[],0.0,0.0
-0.5106,0.2296,-0.3261,0.0,[],0.0,0.0
-0.4077,-0.0325,-0.1511,0.0,[],0.0,0.0
0.2996,-0.1766,-0.299,0.0,[],0.0,0.0
0.2867,-0.0199,0.6767,0.0,[],0.0,0.0
-0.2296,-0.0225,0.1097,0.0,[],0.0,0.0
0.4645,0.0624,-0.0261,0.0,[],0.0,0.0
0.3524,-0.0134,-0.6175,0.0,[],0.0,0.0
0.4793,0.0502,-0.0374,0.8233397037744864,"['Attention', 'Attention', 'Attention']",3.0,0.08458560423435696
-0.2629,-0.2325,0.1832,1.8099617773530816,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.18349884708101874
-0.3519,-0.0403,-0.4367,0.0,[],0.0,0.0
0.3622,-0.0351,-0.6394,0.0,[],0.0,0.0
0.2334,-0.0287,-0.5772,0.0,[],0.0,0.0
0.4793,0.0122,0.0188,0.0,[],0.0,0.0
0.4793,0.1432,-0.1833,0.0,[],0.0,0.0
0.2802,-0.2325,0.1941,0.0,[],0.0,0.0
0.3579,-0.0324,-0.3305,0.0,[],0.0,0.0
-0.0704,-0.0225,0.396,0.0,[],0.0,0.0
0.0252,-0.1325,-0.1402,0.0,[],0.0,0.0
-0.3473,-0.0657,-0.5388,0.3807931199235547,['Attention'],1.0,0.03752685777172203
0.4481,0.2144,-0.439,0.0,[],0.0,0.0
0.4793,0.2106,-0.3804,0.0,[],0.0,0.0
-0.1866,-0.0225,0.6091,0.0,[],0.0,0.0
-0.2939,-0.0495,-0.6111,0.0,[],0.0,0.0
-0.1052,0.0339,-0.054,0.0,[],0.0,0.0
-0.1092,-0.0225,-0.164,0.0,[],0.0,0.0
0.1166,0.189,-0.4102,0.0,[],0.0,0.0
-0.3155,-0.0246,-0.5911,0.0,[],0.0,0.0
0.1739,-0.0316,-0.5633,0.0,[],0.0,0.0
-0.2095,-0.0225,0.1732,0.0,[],0.0,0.0
-0.094,-0.0225,0.581,0.0,[],0.0,0.0
-0.4288,-0.1325,0.3294,0.0,[],0.0,0.0
-0.3407,-0.0348,-0.3492,0.0,[],0.0,0.0
0.0304,0.2065,-0.0525,0.0,[],0.0,0.0
-0.4838,-0.1325,0.0997,0.0,[],0.0,0.0
-0.4798,0.0809,0.2259,0.0,[],0.0,0.0
0.1619,0.192,-0.3908,0.0,[],0.0,0.0
-0.1893,-0.0168,-0.1249,0.0,[],0.0,0.0
-0.223,-0.0325,-0.1343,0.0,[],0.0,0.0
0.4793,-0.1493,0.1905,1.6365265169612995,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention']",5.0,0.1641671470495755
0.3527,0.1996,-0.3234,0.0,[],0.0,0.0
0.5127,-0.0059,-0.0857,0.3926182513139035,['Attention'],1.0,0.03856448485483701
-0.2172,-0.0225,0.5673,0.0,[],0.0,0.0
0.1632,0.1343,-0.5984,0.0,[],0.0,0.0
0.4793,-0.0022,-0.1373,1.0081223124701386,"['Attention', 'Attention', 'Attention']",3.0,0.10079983754323445
-0.362,0.1523,-0.5609,0.0,[],0.0,0.0
-0.3956,0.2174,-0.0985,0.0,[],0.0,0.0
0.4827,-0.0674,-0.5216,0.2196607740086001,['Attention'],1.0,0.02338787862907452
-0.4041,0.2022,-0.2753,0.0,[],0.0,0.0
0.0119,-0.0659,-0.3576,0.0,[],0.0,0.0
0.154,-0.0325,-0.0861,0.0,[],0.0,0.0
-0.4205,-0.0325,0.0504,0.0,[],0.0,0.0
0.3347,0.0727,-0.6498,0.0,[],0.0,0.0
0.4793,0.1171,-0.037,0.8254897276636407,"['Attention', 'Attention', 'Attention']",3.0,0.08477426370401425
-0.0751,-0.0295,-0.1715,0.0,[],0.0,0.0
0.3189,0.2323,-0.2684,0.0,[],0.0,0.0
-0.2309,0.1775,-0.0229,0.0,[],0.0,0.0
-0.4666,-0.0515,-0.264,0.0,[],0.0,0.0
0.3503,-0.0012,-0.1817,0.0,[],0.0,0.0
0.4287,0.2157,-0.4319,0.0,[],0.0,0.0
-0.1153,-0.0302,-0.5712,0.0,[],0.0,0.0
0.0458,-0.0649,-0.3484,0.0,[],0.0,0.0
-0.4967,-0.022,0.363,0.0,[],0.0,0.0
-0.4967,-0.1118,-0.0444,1.823936932632585,"['Attention', 'Attention', 'Attention', 'Attention', 'Attention', 'Attention']",6.0,0.18472513363379098
-0.4221,-0.0325,-0.134,0.0,[],0.0,0.0
0.0705,-0.1175,-0.4677,0.0,[],0.0,0.0
-0.0835,-0.0366,-0.6371,0.0,[],0.0,0.0
-0.2054,-0.2201,-0.4322,0.0,[],0.0,0.0
0.4793,-0.0603,0.4568,0.3840181557572862,['Attention'],1.0,0.037809846976207935
0.0213,0.0783,0.3449,0.0,[],0.0,0.0
-0.4901,-0.1325,0.1593,0.0,[],0.0,0.0
0.43,-0.0352,-0.5413,0.0,[],0.0,0.0
0.4793,-0.1193,-0.4558,0.0,[],0.0,0.0
0.0404,-0.037,-0.3708,0.0,[],0.0,0.0
-0.4717,0.1148,-0.0261,1.1843048256091735,"['Attention', 'Attention', 'Attention']",3.0,0.11625943297348283
0.492,-0.2009,-0.4702,0.0,[],0.0,0.0
0.365,-0.1325,0.0048,0.0,[],0.0,0.0
-0.0138,0.1703,-0.5943,0.0,[],0.0,0.0
-0.3382,0.0164,0.6294,0.43179646440516006,"['Attention', 'Attention']",2.0,0.04611544911434859
-0.1786,-0.0663,-0.3616,0.0,[],0.0,0.0
